,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
16,2012-01-24,34695044.69920692,33731898.99003308,36758724.67381887,34695044.69920692,34695044.69920692,469549.9268517406,469549.9268517406,469549.9268517406,647695.6421761778,647695.6421761778,647695.6421761778,-178145.7153244372,-178145.7153244372,-178145.7153244372,0.0,0.0,0.0,35164594.62605866
17,2012-01-25,34681080.56171958,33744334.70496605,36584725.314647004,34681080.56171958,34681080.56171958,465711.8337790717,465711.8337790717,465711.8337790717,638617.2151337244,638617.2151337244,638617.2151337244,-172905.38135465278,-172905.38135465278,-172905.38135465278,0.0,0.0,0.0,35146792.395498656
18,2012-01-26,34667116.424232244,33700456.26145829,36644638.40457351,34667116.424232244,34667116.424232244,479841.33061711525,479841.33061711525,479841.33061711525,648037.5147049881,648037.5147049881,648037.5147049881,-168196.18408787283,-168196.18408787283,-168196.18408787283,0.0,0.0,0.0,35146957.75484936
19,2012-01-27,34653152.2867449,33632345.4837853,36528771.8027969,34653152.2867449,34653152.2867449,481747.30285720614,481747.30285720614,481747.30285720614,645406.8827402584,645406.8827402584,645406.8827402584,-163659.57988305212,-163659.57988305212,-163659.57988305212,0.0,0.0,0.0,35134899.589602105
20,2012-01-30,34611259.8742829,33600588.38880525,36488925.782465786,34611259.8742829,34611259.8742829,493529.7418493124,493529.7418493124,493529.7418493124,641098.2329869791,641098.2329869791,641098.2329869791,-147568.49113766663,-147568.49113766663,-147568.49113766663,0.0,0.0,0.0,35104789.61613221
21,2012-01-31,34597295.73679556,33716826.20542589,36583024.36875528,34597295.73679556,34597295.73679556,507396.0687091397,507396.0687091397,507396.0687091397,647695.6421764356,647695.6421764356,647695.6421764356,-140299.57346729576,-140299.57346729576,-140299.57346729576,0.0,0.0,0.0,35104691.8055047
22,2012-02-01,34583331.59930822,33752145.886250265,36644601.33924106,34583331.59930822,34583331.59930822,506997.46480623115,506997.46480623115,506997.46480623115,638617.2151337254,638617.2151337254,638617.2151337254,-131619.7503274943,-131619.7503274943,-131619.7503274943,0.0,0.0,0.0,35090329.06411445
23,2012-02-02,34569367.46182088,33649886.52495672,36555385.517701544,34569367.46182088,34569367.46182088,526716.8929696648,526716.8929696648,526716.8929696648,648037.514705309,648037.514705309,648037.514705309,-121320.6217356442,-121320.6217356442,-121320.6217356442,0.0,0.0,0.0,35096084.354790546
24,2012-02-03,34555403.32433354,33563939.999747604,36597359.86752538,34555403.32433354,34555403.32433354,536158.6083424451,536158.6083424451,536158.6083424451,645406.8827402894,645406.8827402894,645406.8827402894,-109248.27439784435,-109248.27439784435,-109248.27439784435,0.0,0.0,0.0,35091561.93267599
25,2012-02-06,34513510.91187154,33585490.61618118,36629732.345640674,34513510.91187154,34513510.91187154,579324.604007412,579324.604007412,579324.604007412,641098.2329885554,641098.2329885554,641098.2329885554,-61773.62898114334,-61773.62898114334,-61773.62898114334,0.0,0.0,0.0,35092835.51587895
